task_id,difficulty,model,horizon,mean_strain_error,mean_resistance_error
R_easy_000,easy,Random baseline,1,0.1773265874290171,130.42572621928662
R_easy_000,easy,Random baseline,5,0.14379188991670555,131.56133409777996
R_easy_000,easy,Random baseline,10,0.13218283482424886,87.47931490014788
R_easy_000,easy,Random baseline,20,0.11610289742254569,81.17060138442153
R_easy_000,easy,Random baseline,30,0.104343072128089,75.6355416373905
R_easy_000,easy,Last-value baseline,1,3.1241572097662207e-06,6.625236011050902
R_easy_000,easy,Last-value baseline,5,3.1241572097662207e-06,8.429572996621644
R_easy_000,easy,Last-value baseline,10,3.1241572097662207e-06,12.678599462159944
R_easy_000,easy,Last-value baseline,20,3.1241572097662207e-06,14.985604769908182
R_easy_000,easy,Last-value baseline,30,3.1241572097662207e-06,12.246540048909386
R_easy_000,easy,Curve-fit baseline,1,3.1241572097662207e-06,1.9269031183829384
R_easy_000,easy,Curve-fit baseline,5,3.1241572097662207e-06,2.8373275876520694
R_easy_000,easy,Curve-fit baseline,10,3.1241572097662207e-06,3.2840748386829643
R_easy_000,easy,Curve-fit baseline,20,3.1241572097662207e-06,7.557955431847489
R_easy_000,easy,Curve-fit baseline,30,3.1241572097662207e-06,10.449641815038843
R_easy_000,easy,Oracle simulator,1,0.0,0.0
R_easy_000,easy,Oracle simulator,5,0.0,0.0
R_easy_000,easy,Oracle simulator,10,0.0,0.0
R_easy_000,easy,Oracle simulator,20,0.0,0.0
R_easy_000,easy,Oracle simulator,30,0.0,0.0
R_easy_001,easy,Random baseline,1,0.0484384790980433,127.76576410849736
R_easy_001,easy,Random baseline,5,0.11702355604702327,92.06031363771369
R_easy_001,easy,Random baseline,10,0.10252674470758003,93.89444810177442
R_easy_001,easy,Random baseline,20,0.09360827446481858,91.08089689430915
R_easy_001,easy,Random baseline,30,0.10533911174061925,84.28956821501477
R_easy_001,easy,Last-value baseline,1,2.504422135646278e-06,4.89767643868737
R_easy_001,easy,Last-value baseline,5,2.504422135646278e-06,4.5234999198740695
R_easy_001,easy,Last-value baseline,10,2.504422135646278e-06,5.195981852520811
R_easy_001,easy,Last-value baseline,20,2.504422135646278e-06,6.945892477966339
R_easy_001,easy,Last-value baseline,30,2.504422135646278e-06,6.388414724789559
R_easy_001,easy,Curve-fit baseline,1,2.504422135646278e-06,1.1647037548162302
R_easy_001,easy,Curve-fit baseline,5,2.504422135646278e-06,1.272895156077834
R_easy_001,easy,Curve-fit baseline,10,2.504422135646278e-06,1.7199254352220195
R_easy_001,easy,Curve-fit baseline,20,2.504422135646278e-06,2.923595171284591
R_easy_001,easy,Curve-fit baseline,30,2.504422135646278e-06,3.860699902383095
R_easy_001,easy,Oracle simulator,1,0.0,0.0
R_easy_001,easy,Oracle simulator,5,0.0,0.0
R_easy_001,easy,Oracle simulator,10,0.0,0.0
R_easy_001,easy,Oracle simulator,20,0.0,0.0
R_easy_001,easy,Oracle simulator,30,0.0,0.0
R_easy_002,easy,Random baseline,1,0.29107645265339854,157.11057759237
R_easy_002,easy,Random baseline,5,0.22580544183351042,97.40863526451508
R_easy_002,easy,Random baseline,10,0.16602842040483462,65.84673643812557
R_easy_002,easy,Random baseline,20,0.15994162928143657,67.61563383583427
R_easy_002,easy,Random baseline,30,0.16185676834271875,81.2774319945747
R_easy_002,easy,Last-value baseline,1,9.734763243007816e-07,0.8538998152957902
R_easy_002,easy,Last-value baseline,5,9.734763243007816e-07,7.102638804974913
R_easy_002,easy,Last-value baseline,10,9.734763243007816e-07,15.669746434822803
R_easy_002,easy,Last-value baseline,20,7.301072432255862e-07,12.258237189834443
R_easy_002,easy,Last-value baseline,30,4.867381621503908e-07,9.654244304076629
R_easy_002,easy,Curve-fit baseline,1,9.734763243007816e-07,1.336998122961262
R_easy_002,easy,Curve-fit baseline,5,9.734763243007816e-07,1.7233464309965854
R_easy_002,easy,Curve-fit baseline,10,9.734763243007816e-07,2.5805099233472264
R_easy_002,easy,Curve-fit baseline,20,7.301072432255862e-07,3.4807505843827484
R_easy_002,easy,Curve-fit baseline,30,4.867381621503908e-07,4.087329740585907
R_easy_002,easy,Oracle simulator,1,0.0,0.0
R_easy_002,easy,Oracle simulator,5,0.0,0.0
R_easy_002,easy,Oracle simulator,10,0.0,0.0
R_easy_002,easy,Oracle simulator,20,0.0,0.0
R_easy_002,easy,Oracle simulator,30,0.0,0.0
R_easy_003,easy,Random baseline,1,0.18038704333661856,121.55159998363915
R_easy_003,easy,Random baseline,5,0.13324718484171477,55.56676825851586
R_easy_003,easy,Random baseline,10,0.10695240493174166,74.48256091251761
R_easy_003,easy,Random baseline,20,0.10608699326972329,84.85348651221575
R_easy_003,easy,Random baseline,30,0.0992922924108705,84.58244588412322
R_easy_003,easy,Last-value baseline,1,1.3726649797651813e-06,6.350432077568925
R_easy_003,easy,Last-value baseline,5,1.3726649797651813e-06,10.144385188620234
R_easy_003,easy,Last-value baseline,10,1.372664979779059e-06,7.69924528347688
R_easy_003,easy,Last-value baseline,20,1.372664979785998e-06,10.597251553706704
R_easy_003,easy,Last-value baseline,30,1.372664979788311e-06,22.427974931676637
R_easy_003,easy,Curve-fit baseline,1,1.3726649797651813e-06,2.3682457042663856
R_easy_003,easy,Curve-fit baseline,5,1.3726649797651813e-06,3.6962527612671296
R_easy_003,easy,Curve-fit baseline,10,1.372664979779059e-06,4.008030227623593
R_easy_003,easy,Curve-fit baseline,20,1.372664979785998e-06,5.629554440516278
R_easy_003,easy,Curve-fit baseline,30,1.372664979788311e-06,9.298324994475236
R_easy_003,easy,Oracle simulator,1,0.0,0.0
R_easy_003,easy,Oracle simulator,5,0.0,0.0
R_easy_003,easy,Oracle simulator,10,0.0,0.0
R_easy_003,easy,Oracle simulator,20,0.0,0.0
R_easy_003,easy,Oracle simulator,30,0.0,0.0
R_easy_004,easy,Random baseline,1,0.0391160224411855,41.184400085450434
R_easy_004,easy,Random baseline,5,0.08953258852174438,22.804043071476077
R_easy_004,easy,Random baseline,10,0.08004021545760263,43.11878828335528
R_easy_004,easy,Random baseline,20,0.10173797312755357,69.4735330319995
R_easy_004,easy,Random baseline,30,0.11809843446993475,64.67259185703263
R_easy_004,easy,Last-value baseline,1,7.83623962108404e-07,0.913528965799216
R_easy_004,easy,Last-value baseline,5,7.83623962108404e-07,7.900292264243836
R_easy_004,easy,Last-value baseline,10,7.83623962108404e-07,8.2524189534823
R_easy_004,easy,Last-value baseline,20,7.83623962108404e-07,11.418027983376449
R_easy_004,easy,Last-value baseline,30,7.83623962108404e-07,15.928234900371315
R_easy_004,easy,Curve-fit baseline,1,7.83623962108404e-07,1.4241968523062383
R_easy_004,easy,Curve-fit baseline,5,7.83623962108404e-07,3.036515137371643
R_easy_004,easy,Curve-fit baseline,10,7.83623962108404e-07,3.9381502528742884
R_easy_004,easy,Curve-fit baseline,20,7.83623962108404e-07,5.928293955088086
R_easy_004,easy,Curve-fit baseline,30,7.83623962108404e-07,8.628244452017729
R_easy_004,easy,Oracle simulator,1,0.0,0.0
R_easy_004,easy,Oracle simulator,5,0.0,0.0
R_easy_004,easy,Oracle simulator,10,0.0,0.0
R_easy_004,easy,Oracle simulator,20,0.0,0.0
R_easy_004,easy,Oracle simulator,30,0.0,0.0
R_easy_005,easy,Random baseline,1,0.11314702401097032,41.725116338966146
R_easy_005,easy,Random baseline,5,0.16748096941105814,77.40108787575453
R_easy_005,easy,Random baseline,10,0.1340497147175122,65.20217665716946
R_easy_005,easy,Random baseline,20,0.14470308145585217,73.9478905856229
R_easy_005,easy,Random baseline,30,0.12628986245336424,67.75657447892901
R_easy_005,easy,Last-value baseline,1,3.6747607225079415e-06,9.976798008034578
R_easy_005,easy,Last-value baseline,5,3.6747607225190436e-06,5.449134183279085
R_easy_005,easy,Last-value baseline,10,3.3072846502682495e-06,5.86015132287468
R_easy_005,easy,Last-value baseline,20,1.6536423251341247e-06,7.991750008626544
R_easy_005,easy,Last-value baseline,30,1.102428216756083e-06,7.400327657051268
R_easy_005,easy,Curve-fit baseline,1,3.6747607225079415e-06,5.738293843445831
R_easy_005,easy,Curve-fit baseline,5,3.6747607225190436e-06,5.482847840630157
R_easy_005,easy,Curve-fit baseline,10,3.3072846502682495e-06,6.739496998003643
R_easy_005,easy,Curve-fit baseline,20,1.6536423251341247e-06,8.276443546166064
R_easy_005,easy,Curve-fit baseline,30,1.102428216756083e-06,9.731601387532335
R_easy_005,easy,Oracle simulator,1,0.0,0.0
R_easy_005,easy,Oracle simulator,5,0.0,0.0
R_easy_005,easy,Oracle simulator,10,0.0,0.0
R_easy_005,easy,Oracle simulator,20,0.0,0.0
R_easy_005,easy,Oracle simulator,30,0.0,0.0
R_easy_006,easy,Random baseline,1,0.09220697350763363,72.033717626933
R_easy_006,easy,Random baseline,5,0.09991019807743005,72.41976077341504
R_easy_006,easy,Random baseline,10,0.13749240270682675,79.19341790263282
R_easy_006,easy,Random baseline,20,0.13538349373807668,64.9558223875492
R_easy_006,easy,Random baseline,30,0.1389040407150136,59.45698114933551
R_easy_006,easy,Last-value baseline,1,4.790163636803069e-06,10.704003513470326
R_easy_006,easy,Last-value baseline,5,4.790163636803069e-06,14.353659425270322
R_easy_006,easy,Last-value baseline,10,4.790163636803069e-06,19.201581128285227
R_easy_006,easy,Last-value baseline,20,4.790163636803069e-06,14.833873732841862
R_easy_006,easy,Last-value baseline,30,4.790163636786415e-06,20.411733811976887
R_easy_006,easy,Curve-fit baseline,1,4.790163636803069e-06,5.911419518516226
R_easy_006,easy,Curve-fit baseline,5,4.790163636803069e-06,6.359557412740093
R_easy_006,easy,Curve-fit baseline,10,4.790163636803069e-06,7.315823917451601
R_easy_006,easy,Curve-fit baseline,20,4.790163636803069e-06,8.266561430999438
R_easy_006,easy,Curve-fit baseline,30,4.790163636786415e-06,11.190200396265956
R_easy_006,easy,Oracle simulator,1,0.0,0.0
R_easy_006,easy,Oracle simulator,5,0.0,0.0
R_easy_006,easy,Oracle simulator,10,0.0,0.0
R_easy_006,easy,Oracle simulator,20,0.0,0.0
R_easy_006,easy,Oracle simulator,30,0.0,0.0
R_easy_007,easy,Random baseline,1,0.06781303862042008,187.6514980613345
R_easy_007,easy,Random baseline,5,0.110768820860729,83.37884177782806
R_easy_007,easy,Random baseline,10,0.13622228572979656,83.06252464612155
R_easy_007,easy,Random baseline,20,0.12853006544413395,93.62705228323944
R_easy_007,easy,Random baseline,30,0.13312896985335984,89.15898243510775
R_easy_007,easy,Last-value baseline,1,2.955359648310063e-06,0.8450277591789614
R_easy_007,easy,Last-value baseline,5,2.955359648310063e-06,3.827742563478492
R_easy_007,easy,Last-value baseline,10,2.955359648310063e-06,5.166890313847221
R_easy_007,easy,Last-value baseline,20,2.955359648310063e-06,7.258338548452525
R_easy_007,easy,Last-value baseline,30,2.9553596483137637e-06,14.016510600087928
R_easy_007,easy,Curve-fit baseline,1,2.955359648310063e-06,1.0110226007131757
R_easy_007,easy,Curve-fit baseline,5,2.955359648310063e-06,1.8015469764178818
R_easy_007,easy,Curve-fit baseline,10,2.955359648310063e-06,2.837670482601881
R_easy_007,easy,Curve-fit baseline,20,2.955359648310063e-06,4.737110243567088
R_easy_007,easy,Curve-fit baseline,30,2.9553596483137637e-06,7.560425610940925
R_easy_007,easy,Oracle simulator,1,0.0,0.0
R_easy_007,easy,Oracle simulator,5,0.0,0.0
