task_id,task_type,difficulty,episode_id,true_next_strain,true_next_resistance,recent_actions,current_strain,true_current_fatigue,future_actions,true_future_strain,true_future_resistance
F_easy_000,forward,easy,E_easy_000,0.13403312415720978,135.1267639889491,,,,,,
F_easy_001,forward,easy,E_easy_001,0.15697250442213564,131.46267643868737,,,,,,
F_easy_002,forward,easy,E_easy_002,0.06317902652367571,115.5081001847042,,,,,,
F_easy_003,forward,easy,E_easy_003,0.09863137266497976,124.23756792243107,,,,,,
F_easy_004,forward,easy,E_easy_004,0.09373078362396212,125.04347103420078,,,,,,
F_easy_005,forward,easy,E_easy_005,0.0394936747607225,113.32120199196542,,,,,,
F_easy_006,forward,easy,E_easy_006,0.14085520983636318,138.84799648652967,,,,,,
F_easy_007,forward,easy,E_easy_007,0.08798295535964831,119.42797224082103,,,,,,
F_easy_008,forward,easy,E_easy_008,0.18770047378305596,145.89759664541342,,,,,,
F_easy_009,forward,easy,E_easy_009,0.08539831732488459,121.5952770062562,,,,,,
F_easy_010,forward,easy,E_easy_010,0.23905005217033187,152.8002270883293,,,,,,
F_easy_011,forward,easy,E_easy_011,0.0,106.14571917026862,,,,,,
F_easy_012,forward,easy,E_easy_012,0.2768712916445823,160.6976973554598,,,,,,
F_easy_013,forward,easy,E_easy_013,0.1278816105980719,131.10046405313813,,,,,,
F_easy_014,forward,easy,E_easy_014,0.03788017511959713,110.29930400053404,,,,,,
F_easy_015,forward,easy,E_easy_015,0.09067829721194631,124.56292349045226,,,,,,
F_easy_016,forward,easy,E_easy_016,0.08960000000000001,123.51158249049216,,,,,,
F_easy_017,forward,easy,E_easy_017,0.0888655991049919,123.8487112254843,,,,,,
F_medium_018,forward,medium,E_medium_000,0.08190517710078529,134.76679538560248,,,,,,
F_medium_019,forward,medium,E_medium_001,0.04877544365384271,122.77500592482924,,,,,,
F_medium_020,forward,medium,E_medium_002,0.2221534195422615,180.71981349051111,,,,,,
F_medium_021,forward,medium,E_medium_003,0.04428193608165355,120.42445316043599,,,,,,
F_medium_022,forward,medium,E_medium_004,0.21458739714237315,196.02029148548553,,,,,,
F_medium_023,forward,medium,E_medium_005,0.15266714417563254,150.3712389252024,,,,,,
F_medium_024,forward,medium,E_medium_006,0.07929999999999998,126.14778585496892,,,,,,
F_medium_025,forward,medium,E_medium_007,0.0604,130.00435097129963,,,,,,
F_medium_026,forward,medium,E_medium_008,0.1761302976142902,144.27276879033005,,,,,,
F_medium_027,forward,medium,E_medium_009,0.24637240597219887,183.04140189909626,,,,,,
F_medium_028,forward,medium,E_medium_010,0.15137215274586846,148.1294882239752,,,,,,
F_medium_029,forward,medium,E_medium_011,0.049300000000000004,123.54238049099422,,,,,,
F_medium_030,forward,medium,E_medium_012,0.06074186638090516,127.23762300250809,,,,,,
F_medium_031,forward,medium,E_medium_013,0.010746160016955955,110.21926499043333,,,,,,
F_medium_032,forward,medium,E_medium_014,0.19602299737596016,164.55149859037135,,,,,,
F_medium_033,forward,medium,E_medium_015,0.15419582357064568,146.72610183903063,,,,,,
F_medium_034,forward,medium,E_medium_016,0.3828411934569482,242.49317891516407,,,,,,
F_medium_035,forward,medium,E_medium_017,0.10097088653865241,138.62628041062084,,,,,,
F_hard_036,forward,hard,E_hard_000,0.2601385052719215,235.2606460944845,,,,,,
F_hard_037,forward,hard,E_hard_001,0.3807977896615752,297.28266372406574,,,,,,
F_hard_038,forward,hard,E_hard_002,0.3146,349.3098778683097,,,,,,
F_hard_039,forward,hard,E_hard_003,0.2814915679122014,239.29410620242976,,,,,,
F_hard_040,forward,hard,E_hard_004,0.2531655587189162,246.9840791253777,,,,,,
F_hard_041,forward,hard,E_hard_005,0.21162182983151923,202.47360894953437,,,,,,
F_hard_042,forward,hard,E_hard_006,0.36091436768091323,269.7607040085441,,,,,,
F_hard_043,forward,hard,E_hard_007,0.0815964101236579,161.97716067455937,,,,,,
F_hard_044,forward,hard,E_hard_008,0.28750000000000003,224.72294310368912,,,,,,
F_hard_045,forward,hard,E_hard_009,0.3396,299.62415691682304,,,,,,
F_hard_046,forward,hard,E_hard_010,0.3877601219090924,337.69323671703137,,,,,,
F_hard_047,forward,hard,E_hard_011,0.3047515525192797,277.9296925801845,,,,,,
F_hard_048,forward,hard,E_hard_012,0.29471022479600223,264.5701492390571,,,,,,
F_hard_049,forward,hard,E_hard_013,0.27630000000000005,272.0845467002687,,,,,,
F_hard_050,forward,hard,E_hard_014,0.335969644111045,303.27797775645575,,,,,,
F_hard_051,forward,hard,E_hard_015,0.2262972753219924,243.65898127840975,,,,,,
F_hard_052,forward,hard,E_hard_016,0.3390327318732911,273.47783034333986,,,,,,
F_hard_053,forward,hard,E_hard_017,0.33914201409802597,276.43365826831115,,,,,,
I_easy_000,inverse,easy,E_easy_000,,,"[0.0358, -0.0453, 0.0026, -0.0301, 0.0473, 0.0253, 0.0241, -0.0058]",0.16863312415720977,0.048423205379815835,,,
I_easy_001,inverse,easy,E_easy_001,,,"[0.0058, 0.0047, -0.0474, -0.0501, 0.0273, -0.0047, -0.0059, 0.0242]",0.13157250442213564,0.016336194191867534,,,
I_easy_002,inverse,easy,E_easy_002,,,"[0.0358, 0.0047, -0.0274, -0.0501, 0.0473, -0.0047, -0.0359, -0.0358]",0.06777902652367572,0.02066323319180954,,,
I_easy_003,inverse,easy,E_easy_003,,,"[-0.0442, 0.0547, -0.0274, 0.0299, 0.0273, 0.0253, -0.0559, 0.0442]",0.13323137266497975,0.030821872083326048,,,
I_easy_004,inverse,easy,E_easy_004,,,"[-0.0442, -0.0453, -0.0274, -0.0001, 0.0473, -0.0547, 0.0241, 0.0242]",0.09833078362396211,0.0377007529558193,,,
I_easy_005,inverse,easy,E_easy_005,,,"[0.0058, -0.0253, -0.0274, 0.0299, 0.0273, -0.0547, -0.0559, 0.0242]",0.0940936747607225,0.029976404924401828,,,
I_easy_006,inverse,easy,E_easy_006,,,"[-0.0442, 0.0047, 0.0026, 0.0499, -0.0027, -0.0047, 0.0241, -0.0358]",0.1954552098363632,0.0583469741773407,,,
I_easy_007,inverse,easy,E_easy_007,,,"[0.0558, -0.0253, 0.0026, -0.0001, -0.0027, -0.0047, 0.0241, 0.0242]",0.0925829553596483,0.018655660431620737,,,
I_easy_008,inverse,easy,E_easy_008,,,"[0.0058, -0.0253, 0.0526, 0.0299, -0.0527, 0.0453, 0.0441, -0.0358]",0.16230047378305595,0.04719906541864372,,,
I_easy_009,inverse,easy,E_easy_009,,,"[-0.0442, 0.0047, -0.0474, 0.0499, 0.0273, -0.0347, -0.0559, -0.0358]",0.0399983173248846,0.026690945625952724,,,
I_easy_010,inverse,easy,E_easy_010,,,"[0.0358, -0.0253, 0.0026, 0.0299, 0.0473, 0.0453, -0.0059, -0.0058]",0.21365005217033187,0.035998300041088144,,,
I_easy_011,inverse,easy,E_easy_011,,,"[0.0058, -0.0453, 0.0326, -0.0001, -0.0027, -0.0547, -0.0059, 0.0442]",0.05420026329747871,0.029843555999730046,,,
I_easy_012,inverse,easy,E_easy_012,,,"[0.0358, 0.0347, 0.0326, 0.0499, 0.0273, -0.0047, 0.0241, 0.0442]",0.2514712916445823,0.04046289093800198,,,
I_easy_013,inverse,easy,E_easy_013,,,"[0.0358, 0.0547, -0.0474, -0.0001, 0.0273, -0.0547, -0.0059, 0.0442]",0.1024816105980719,0.033927191555527994,,,
I_easy_014,inverse,easy,E_easy_014,,,"[-0.0242, 0.0547, 0.0026, 0.0299, -0.0027, 0.0253, -0.0359, -0.0358]",0.07248017511959713,0.017523652339683657,,,
I_easy_015,inverse,easy,E_easy_015,,,"[0.0558, -0.0453, 0.0326, -0.0001, -0.0327, 0.0253, 0.0241, 0.0442]",0.1252782972119463,0.03813278337707536,,,
I_easy_016,inverse,easy,E_easy_016,,,"[0.0058, -0.0253, -0.0474, -0.0501, 0.0273, -0.0547, -0.0059, 0.0442]",0.0442,0.028066961238501813,,,
I_easy_017,inverse,easy,E_easy_017,,,"[-0.0442, 0.0347, 0.0026, -0.0001, -0.0527, 0.0453, -0.0059, 0.0242]",0.1434655991049919,0.03680249770894318,,,
I_medium_018,inverse,medium,E_medium_000,,,"[0.0508, -0.0103, 0.0676, -0.0351, -0.0627, 0.0403, 0.0391, -0.0208]",0.1215051771007853,0.0877775196914866,,,
I_medium_019,inverse,medium,E_medium_001,,,"[0.0708, -0.0553, -0.0324, 0.0449, -0.0377, -0.0197, -0.0059, -0.0408]",0.008375443653842712,0.05469097591755909,,,
I_medium_020,inverse,medium,E_medium_002,,,"[-0.0542, 0.0297, 0.0476, 0.0249, 0.0423, 0.0403, -0.0409, 0.0592]",0.2267534195422615,0.1430446262801737,,,
I_medium_021,inverse,medium,E_medium_003,,,"[-0.0092, -0.0103, 0.0026, -0.0351, -0.0627, 0.0403, 0.0191, 0.0192]",0.10888193608165356,0.05774048259722882,,,
I_medium_022,inverse,medium,E_medium_004,,,"[0.0308, 0.0497, 0.0026, -0.0351, -0.0377, -0.0397, 0.0191, -0.0208]",0.25418739714237315,0.2046990717388783,,,
I_medium_023,inverse,medium,E_medium_005,,,"[0.0708, -0.0103, 0.0026, -0.0001, -0.0627, 0.0203, -0.0209, 0.0392]",0.11226714417563255,0.08097021527708863,,,
I_medium_024,inverse,medium,E_medium_006,,,"[0.0058, 0.0047, 0.0676, -0.0151, 0.0623, -0.0397, 0.0191, -0.0058]",0.09889999999999999,0.053415973953712406,,,
I_medium_025,inverse,medium,E_medium_007,,,"[-0.0292, 0.0297, -0.0324, -0.0601, -0.0027, 0.0203, -0.0059, -0.0208]",0.0,0.066101513756985,,,
I_medium_026,inverse,medium,E_medium_008,,,"[-0.0092, 0.0047, 0.0276, 0.0649, 0.0623, -0.0197, -0.0209, -0.0058]",0.1807302976142902,0.051491167410557745,,,
I_medium_027,inverse,medium,E_medium_009,,,"[0.0508, 0.0047, 0.0026, 0.0649, 0.0623, 0.0403, -0.0409, 0.0192]",0.20597240597219887,0.11902880193813158,,,
I_medium_028,inverse,medium,E_medium_010,,,"[0.0058, 0.0047, -0.0574, -0.0001, 0.0623, 0.0603, -0.0659, 0.0192]",0.17097215274586847,0.08531152660594098,,,
I_medium_029,inverse,medium,E_medium_011,,,"[0.0508, 0.0297, 0.0676, 0.0249, -0.0627, -0.0397, -0.0409, 0.0592]",0.0889,0.06711163630279861,,,
I_medium_030,inverse,medium,E_medium_012,,,"[0.0708, 0.0047, 0.0026, -0.0001, -0.0627, 0.0203, -0.0409, 0.0192]",0.12534186638090516,0.07358550299558424,,,
I_medium_031,inverse,medium,E_medium_013,,,"[-0.0092, 0.0047, -0.0324, -0.0151, -0.0177, -0.0397, 0.0391, 0.0192]",0.07534616001695596,0.03959642205026617,,,
I_medium_032,inverse,medium,E_medium_014,,,"[-0.0292, 0.0497, 0.0476, 0.0649, 0.0423, 0.0403, -0.0209, -0.0208]",0.23562299737596015,0.10954094553439495,,,
I_medium_033,inverse,medium,E_medium_015,,,"[-0.0092, 0.0497, -0.0124, -0.0351, -0.0027, 0.0203, -0.0059, 0.0392]",0.13379582357064568,0.07207917436283617,,,
I_medium_034,inverse,medium,E_medium_016,,,"[-0.0292, 0.0497, 0.0676, 0.0249, -0.0027, 0.0403, -0.0059, 0.0192]",0.34244119345694823,0.19296805011590923,,,
I_medium_035,inverse,medium,E_medium_017,,,"[0.0508, 0.0047, 0.0026, -0.0601, 0.0223, 0.0403, -0.0659, 0.0192]",0.0405708865386524,0.06938851977058406,,,
I_hard_036,inverse,hard,E_hard_000,,,"[0.0858, 0.0597, 0.0576, -0.0001, -0.0277, 0.0253, -0.0309, -0.0308]",0.2897385052719215,0.2904425843215231,,,
I_hard_037,inverse,hard,E_hard_001,,,"[0.0858, -0.0203, 0.0326, -0.0001, 0.0273, -0.0547, -0.0309, 0.0242]",0.3053977896615752,0.3289847665564324,,,
I_hard_038,inverse,hard,E_hard_002,,,"[0.0858, 0.0047, 0.0326, 0.0799, 0.0773, 0.0503, 0.0241, -0.0558]",0.3442,0.5856770271491096,,,
I_hard_039,inverse,hard,E_hard_003,,,"[0.0608, 0.0847, -0.0224, -0.0001, 0.0273, -0.0297, -0.0059, -0.0558]",0.25609156791220145,0.2718429820797143,,,
I_hard_040,inverse,hard,E_hard_004,,,"[0.0858, 0.0347, 0.0326, -0.0001, 0.0773, 0.0253, -0.0309, -0.0558]",0.28276555871891623,0.3342301663229679,,,
I_hard_041,inverse,hard,E_hard_005,,,"[0.0058, -0.0453, 0.0576, 0.0299, 0.0523, -0.0297, -0.0559, -0.0058]",0.18622182983151922,0.2121910019489224,,,
I_hard_042,inverse,hard,E_hard_006,,,"[0.0858, 0.0347, 0.0826, -0.0001, 0.0273, 0.0503, -0.0309, -0.0558]",0.2855143676809132,0.2703335412760546,,,
I_hard_043,inverse,hard,E_hard_007,,,"[-0.0442, 0.0847, 0.0026, -0.0501, -0.0277, -0.0047, -0.0059, -0.0558]",0.0861964101236579,0.20147524640535872,,,
I_hard_044,inverse,hard,E_hard_008,,,"[0.0358, 0.0847, 0.0026, 0.0799, 0.0273, -0.0297, 0.0241, -0.0308]",0.2921,0.22981088491068039,,,
I_hard_045,inverse,hard,E_hard_009,,,"[0.0858, 0.0347, 0.0826, -0.0501, -0.0277, 0.0753, 0.0741, -0.0308]",0.36920000000000003,0.40674181419250643,,,
I_hard_046,inverse,hard,E_hard_010,,,"[0.0858, 0.0347, -0.0474, 0.0549, -0.0277, 0.0753, -0.0309, 0.0242]",0.3373601219090924,0.4307974393452644,,,
I_hard_047,inverse,hard,E_hard_011,,,"[0.0858, -0.0453, 0.0326, -0.0501, 0.0273, -0.0047, -0.0309, 0.0742]",0.3343515525192797,0.3786601913447699,,,
I_hard_048,inverse,hard,E_hard_012,,,"[-0.0192, 0.0847, -0.0474, 0.0299, 0.0773, -0.0047, -0.0059, -0.0558]",0.32431022479600224,0.3494077147504205,,,
