model,difficulty,forward,inverse,rollout,world_model_score
Oracle simulator,easy,1.0,1.0,1.0,1.0
Curve-fit baseline,easy,0.9423648281853532,0.7351997427426857,0.7848787286283424,0.8172208627297486
gpt-4o,easy,0.9688976725499633,0.16288118224124842,0.7973118126066506,0.6584583814800238
Last-value baseline,easy,0.8042653413024217,0.2698153472755263,0.6794994057521779,0.5940239688742555
Random baseline,easy,0.17137485778602776,0.2606188899218015,0.18957012307000617,0.20542617354035125
Oracle simulator,hard,1.0,1.0,1.0,1.0
Last-value baseline,hard,0.7578428770772322,0.5073908557390012,0.19766676420392906,0.45863682552644164
gpt-4o,hard,0.8504408151804665,0.2253834794049946,0.20385542872324738,0.40428945986493725
Curve-fit baseline,hard,0.5129940824930739,0.5283554795246189,0.18193720278681408,0.38517974972003344
Random baseline,hard,0.15732110975536526,0.31405437746212655,0.10996670176418695,0.1853993268709223
Oracle simulator,medium,1.0,1.0,1.0,1.0
Curve-fit baseline,medium,0.847927308268373,0.9042015270914219,0.47250902409249235,0.7146422602449354
gpt-4o,medium,0.9134673656737458,0.15926660321933847,0.5141641846481683,0.5274858645271926
Last-value baseline,medium,0.7418383513518089,0.3524281030431793,0.42457206324263974,0.49810876161555234
Random baseline,medium,0.1779998812860496,0.2324539393093344,0.20094782248427145,0.2035152751723238
