task_id,difficulty,model,horizon,mean_strain_error,mean_resistance_error
R_easy_000,easy,Random baseline,1,0.15518746227014713,57.92195107386115
R_easy_000,easy,Random baseline,5,0.11868732392436003,60.96359683966291
R_easy_000,easy,Random baseline,10,0.08637262997451725,67.85395278362407
R_easy_000,easy,Random baseline,20,0.09047739933139176,64.3513586218451
R_easy_000,easy,Random baseline,30,0.08751017290649737,77.47369873709673
R_easy_000,easy,Last-value baseline,1,9.934437239511595e-08,9.707429509058883
R_easy_000,easy,Last-value baseline,5,9.934437239511595e-08,5.207023352521977
R_easy_000,easy,Last-value baseline,10,9.934437239511595e-08,15.465732745717514
R_easy_000,easy,Last-value baseline,20,9.934437239511595e-08,15.721256415799559
R_easy_000,easy,Last-value baseline,30,9.934437239511595e-08,14.29481238408092
R_easy_000,easy,Curve-fit baseline,1,9.934437239511595e-08,1.6898892112270403
R_easy_000,easy,Curve-fit baseline,5,9.934437239511595e-08,1.5310108202878723
R_easy_000,easy,Curve-fit baseline,10,9.934437239511595e-08,2.0250219960841065
R_easy_000,easy,Curve-fit baseline,20,9.934437239511595e-08,4.06535524509766
R_easy_000,easy,Curve-fit baseline,30,9.934437239511595e-08,5.341317631481489
R_easy_000,easy,Oracle simulator,1,0.0,0.0
R_easy_000,easy,Oracle simulator,5,0.0,0.0
R_easy_000,easy,Oracle simulator,10,0.0,0.0
R_easy_000,easy,Oracle simulator,20,0.0,0.0
R_easy_000,easy,Oracle simulator,30,0.0,0.0
R_easy_001,easy,Random baseline,1,0.009548048880131325,2.474957625814099
R_easy_001,easy,Random baseline,5,0.08606086589120614,83.32629830959812
R_easy_001,easy,Random baseline,10,0.13619654703735892,89.58507228967622
R_easy_001,easy,Random baseline,20,0.1514068316830767,81.83758865423711
R_easy_001,easy,Random baseline,30,0.15017961255125237,86.1402003635531
R_easy_001,easy,Last-value baseline,1,3.227628304305896e-06,8.971385141036379
R_easy_001,easy,Last-value baseline,5,3.227628304305896e-06,8.388023733022507
R_easy_001,easy,Last-value baseline,10,3.227628304301733e-06,7.1924807919810245
R_easy_001,easy,Last-value baseline,20,3.2276283042968757e-06,6.081337377787639
R_easy_001,easy,Last-value baseline,30,3.2276283042952566e-06,6.512519843013466
R_easy_001,easy,Curve-fit baseline,1,3.227628304305896e-06,0.4350198620828962
R_easy_001,easy,Curve-fit baseline,5,3.227628304305896e-06,0.49886935825558965
R_easy_001,easy,Curve-fit baseline,10,3.227628304301733e-06,0.6581504069068458
R_easy_001,easy,Curve-fit baseline,20,3.2276283042968757e-06,0.8803038069540932
R_easy_001,easy,Curve-fit baseline,30,3.2276283042952566e-06,1.1273474035029423
R_easy_001,easy,Oracle simulator,1,0.0,0.0
R_easy_001,easy,Oracle simulator,5,0.0,0.0
R_easy_001,easy,Oracle simulator,10,0.0,0.0
R_easy_001,easy,Oracle simulator,20,0.0,0.0
R_easy_001,easy,Oracle simulator,30,0.0,0.0
R_easy_002,easy,Random baseline,1,0.0008444127927768885,96.74757703305266
R_easy_002,easy,Random baseline,5,0.09928655655059285,78.23957795090787
R_easy_002,easy,Random baseline,10,0.11699452851225836,84.55626695813653
R_easy_002,easy,Random baseline,20,0.12434005814241955,87.06439622194587
R_easy_002,easy,Random baseline,30,0.11718595642475009,97.66846425936939
R_easy_002,easy,Last-value baseline,1,3.569126409336265e-06,4.62291639709116
R_easy_002,easy,Last-value baseline,5,3.569126409336265e-06,4.607402643220643
R_easy_002,easy,Last-value baseline,10,3.569126409336265e-06,7.847007156600152
R_easy_002,easy,Last-value baseline,20,3.569126409337653e-06,10.37624495926921
R_easy_002,easy,Last-value baseline,30,3.5691264093464422e-06,9.695329598058363
R_easy_002,easy,Curve-fit baseline,1,3.569126409336265e-06,0.049609918649764495
