model,difficulty,forward,inverse,rollout,world_model_score
Oracle simulator,easy,1.0,1.0,1.0,1.0
Curve-fit baseline,easy,0.9791358279744576,0.3835076378632922,0.9063870520738286,0.7713478605808564
gpt-4o,easy,0.9637665639700219,0.37287375297388176,0.8744892022187584,0.7507877759706745
Last-value baseline,easy,0.833475371242542,0.33350168440555655,0.7080240879000266,0.6333027518544402
Random baseline,easy,0.14402950587784427,0.32999580416957014,0.18651372829840646,0.2168130843335869
Oracle simulator,hard,1.0,1.0,1.0,1.0
gpt-4o,hard,0.7831600299485477,0.34327226609215955,0.17856245370650195,0.409354670294813
Last-value baseline,hard,0.6589231640474176,0.34619134364699455,0.18513992292286488,0.3755903214774696
Curve-fit baseline,hard,0.39965028334548314,0.5021841445456073,0.15722846997873371,0.3334417163588206
Random baseline,hard,0.1219943179578397,0.34227550766837017,0.09468219651955397,0.17715382629568455
Oracle simulator,medium,1.0,1.0,1.0,1.0
gpt-4o,medium,0.9328916643468526,0.5086015134956755,0.6267055458206943,0.6831301716810361
Last-value baseline,medium,0.785984824269701,0.6034224533464677,0.518537532872119,0.6242371964336982
Curve-fit baseline,medium,0.8655567256116536,0.31960702770812305,0.599706901341656,0.5954318865325955
Random baseline,medium,0.20648964866309844,0.42228767671779827,0.2028901110737329,0.26978924204376215
