task_id,task_type,difficulty,episode_id,true_next_strain,true_next_resistance,inverse_gap,inverse_mask_mode,current_strain,true_current_fatigue,recent_window,future_actions,true_future_strain,true_future_resistance
F_easy_000,forward,easy,E_easy_000,0.07809009934437239,116.84857049094111,,,,,,,,
F_easy_001,forward,easy,E_easy_001,0.0588432276283043,111.83561485896362,,,,,,,,
F_easy_002,forward,easy,E_easy_002,0.18834643087359068,134.17391639709115,,,,,,,,
F_easy_003,forward,easy,E_easy_003,0.0725296474480937,113.92438065021997,,,,,,,,
F_easy_004,forward,easy,E_easy_004,0.0824135825180543,112.33304735719396,,,,,,,,
F_easy_005,forward,easy,E_easy_005,0.0,101.57653139022962,,,,,,,,
F_easy_006,forward,easy,E_easy_006,0.10340527102052494,116.75153590220765,,,,,,,,
F_easy_007,forward,easy,E_easy_007,0.04989999999999998,113.46746119648942,,,,,,,,
F_easy_008,forward,easy,E_easy_008,0.10084242569833962,119.69456504171771,,,,,,,,
F_easy_009,forward,easy,E_easy_009,0.052265665860696954,109.51423962982525,,,,,,,,
F_easy_010,forward,easy,E_easy_010,0.14223159903402666,119.07442655633821,,,,,,,,
F_easy_011,forward,easy,E_easy_011,0.26462415209645107,147.42048439602283,,,,,,,,
F_easy_012,forward,easy,E_easy_012,0.15796230248687476,126.33452132546579,,,,,,,,
F_easy_013,forward,easy,E_easy_013,0.05508553772471531,112.64398049623206,,,,,,,,
F_easy_014,forward,easy,E_easy_014,0.018999999999999996,105.75007160115695,,,,,,,,
F_easy_015,forward,easy,E_easy_015,0.16757639902074056,123.14382463532182,,,,,,,,
F_easy_016,forward,easy,E_easy_016,0.1386589316351216,126.01497961068993,,,,,,,,
F_easy_017,forward,easy,E_easy_017,0.1253728856201154,119.84079669080968,,,,,,,,
F_medium_018,forward,medium,E_medium_000,0.0940430751084044,124.80216915681918,,,,,,,,
F_medium_019,forward,medium,E_medium_001,0.16411014959759695,132.7335927878664,,,,,,,,
F_medium_020,forward,medium,E_medium_002,0.1585024578453902,152.64597326457564,,,,,,,,
F_medium_021,forward,medium,E_medium_003,0.31403813028916355,212.68472879435004,,,,,,,,
F_medium_022,forward,medium,E_medium_004,0.22201190224425493,175.103607424224,,,,,,,,
F_medium_023,forward,medium,E_medium_005,0.10328045990875126,132.51885544319478,,,,,,,,
F_medium_024,forward,medium,E_medium_006,0.0396,112.49498091000886,,,,,,,,
F_medium_025,forward,medium,E_medium_007,0.2107286426698442,153.6574664508119,,,,,,,,
F_medium_026,forward,medium,E_medium_008,0.22072941120010964,156.210245165104,,,,,,,,
F_medium_027,forward,medium,E_medium_009,0.16109012941004777,153.6177973663908,,,,,,,,
F_medium_028,forward,medium,E_medium_010,0.07729259571318431,134.5799381188135,,,,,,,,
F_medium_029,forward,medium,E_medium_011,0.2583970381394235,160.6924215147807,,,,,,,,
F_medium_030,forward,medium,E_medium_012,0.14241648065548335,143.93016091974255,,,,,,,,
F_medium_031,forward,medium,E_medium_013,0.0938,126.77304058972169,,,,,,,,
F_medium_032,forward,medium,E_medium_014,0.19532023775434418,161.23166394899565,,,,,,,,
F_medium_033,forward,medium,E_medium_015,0.3624882300417855,187.4221531752998,,,,,,,,
F_medium_034,forward,medium,E_medium_016,0.11929999999999999,135.61538056266866,,,,,,,,
F_medium_035,forward,medium,E_medium_017,0.1511766449122315,144.22919155314077,,,,,,,,
F_hard_036,forward,hard,E_hard_000,0.365727079877854,310.8399502573211,,,,,,,,
