model,difficulty,forward,inverse,rollout,world_model_score
Oracle simulator,easy,1.0,1.0,1.0,1.0
Curve-fit baseline,easy,0.9791358279744576,0.7554347388470342,0.9063870520738286,0.882925990875979
Last-value baseline,easy,0.833475371242542,0.7554347388470342,0.7080240879000266,0.7598826681868834
gpt-4o,easy,0.9658674315288636,0.30218137519939237,0.8756083529999787,0.7306579832184683
Random baseline,easy,0.14402950587784427,0.24240132063486586,0.18860248815434985,0.191370243215553
Oracle simulator,hard,1.0,1.0,1.0,1.0
gpt-4o,hard,0.7767828541641819,0.3360516232964779,0.1766958813082512,0.4045286957614984
Last-value baseline,hard,0.6589231640474176,0.40110338450151795,0.18513992292286488,0.3920639337338266
Curve-fit baseline,hard,0.39965028334548314,0.40110338450151795,0.15722846997873371,0.3031174883455938
Random baseline,hard,0.1219943179578397,0.32427109693659334,0.09557644580590936,0.17211020279069367
Oracle simulator,medium,1.0,1.0,1.0,1.0
Curve-fit baseline,medium,0.8655567256116536,0.7859364495570361,0.599706901341656,0.7353307130872694
Last-value baseline,medium,0.785984824269701,0.7859364495570361,0.518537532872119,0.6789913952968687
gpt-4o,medium,0.9330796302621006,0.2501283139923094,0.642243732595123,0.6118598763143722
Random baseline,medium,0.20648964866309844,0.21967267322293144,0.2056919265025465,0.21012546716682756
