model,difficulty,forward,inverse,rollout,world_model_score
Oracle simulator,easy,1.0,1.0,1.0,1.0
Curve-fit baseline,easy,0.9791358279744576,0.7682127387940612,0.9063870520738286,0.886759390860087
Last-value baseline,easy,0.833475371242542,0.7428409681671408,0.7080240879000266,0.7561045369829155
gpt-4o,easy,0.9652546990567274,0.19620219465991673,0.8639074210167924,0.6940000365217102
Random baseline,easy,0.14402950587784427,0.24240132063486586,0.18860248815434985,0.191370243215553
Oracle simulator,hard,1.0,1.0,1.0,1.0
Last-value baseline,hard,0.6589231640474176,0.5909830117837586,0.18513992292286488,0.4490278219184988
gpt-4o,hard,0.7785084465021488,0.21568148991290476,0.18408944646533218,0.37189275951064893
Curve-fit baseline,hard,0.39965028334548314,0.4417209509869788,0.15722846997873371,0.3153027582912321
Random baseline,hard,0.1219943179578397,0.32427109693659334,0.09557644580590936,0.17211020279069367
Oracle simulator,medium,1.0,1.0,1.0,1.0
Curve-fit baseline,medium,0.8655567256116536,0.8092897787699836,0.599706901341656,0.7423367118511537
Last-value baseline,medium,0.785984824269701,0.7211509373652982,0.518537532872119,0.6595557416393474
gpt-4o,medium,0.9341196791106974,0.18138134202156475,0.6247770813899867,0.5845611388956733
Random baseline,medium,0.20648964866309844,0.21967267322293144,0.2056919265025465,0.21012546716682756
