task_type,difficulty,model,score,normalized_error
forward,easy,Oracle simulator,1.0,0.0
forward,easy,Curve-fit baseline,0.9791358279744576,0.021748146635855062
forward,easy,gpt-4o,0.9656453842223528,0.03718100140515293
forward,easy,Last-value baseline,0.833475371242542,0.214100332577431
forward,easy,Random baseline,0.14402950587784427,6.872609523027517
forward,hard,Oracle simulator,1.0,0.0
forward,hard,gpt-4o,0.7752737218870184,0.3881806957820324
forward,hard,Last-value baseline,0.6589231640474176,0.6897008290469606
forward,hard,Curve-fit baseline,0.39965028334548314,1.6722294855321482
forward,hard,Random baseline,0.1219943179578397,8.190996849367021
forward,medium,Oracle simulator,1.0,0.0
forward,medium,gpt-4o,0.9308393141263998,0.07766186008494796
forward,medium,Curve-fit baseline,0.8655567256116536,0.1696065306802665
forward,medium,Last-value baseline,0.785984824269701,0.2979205696666109
forward,medium,Random baseline,0.20648964866309844,4.898547768103365
inverse,easy,Oracle simulator,1.0,0.0
inverse,easy,Curve-fit baseline,0.8455599255154961,0.19306215818773895
inverse,easy,Last-value baseline,0.7421303843512599,0.355392683756105
inverse,easy,Random baseline,0.24240132063486586,5.890659759705933
inverse,easy,gpt-4o,0.1748156274828595,5.015966243218182
inverse,hard,Oracle simulator,1.0,0.0
inverse,hard,Curve-fit baseline,0.5940099032810348,0.7695398445882439
inverse,hard,Random baseline,0.32427109693659334,3.350680186214531
inverse,hard,Last-value baseline,0.31118963608541145,2.516937255441761
inverse,hard,gpt-4o,0.22479852049250232,3.66315985037119
inverse,medium,Oracle simulator,1.0,0.0
inverse,medium,Curve-fit baseline,0.8803729345807692,0.15112968731487986
inverse,medium,Last-value baseline,0.5785190338342908,0.8048320258854349
inverse,medium,Random baseline,0.21967267322293144,5.571016751653293
inverse,medium,gpt-4o,0.17365370838325486,4.9088562323631555
rollout,easy,Oracle simulator,1.0,0.0
rollout,easy,Curve-fit baseline,0.9063870520738286,0.10785348219451814
rollout,easy,gpt-4o,0.8744639649607753,0.15113423947135424
rollout,easy,Last-value baseline,0.7080240879000266,0.44325313881278394
rollout,easy,Random baseline,0.18860248815434985,4.333909364215959
rollout,hard,Oracle simulator,1.0,0.0
rollout,hard,Last-value baseline,0.18513992292286488,4.795226879354985
rollout,hard,gpt-4o,0.17786272448494633,4.939852648620583
rollout,hard,Curve-fit baseline,0.15722846997873371,5.5593045644773955
rollout,hard,Random baseline,0.09557644580590936,10.022264296272098
rollout,medium,Oracle simulator,1.0,0.0
rollout,medium,gpt-4o,0.6393891927278464,0.6287687423157141
rollout,medium,Curve-fit baseline,0.599706901341656,0.753657757271577
rollout,medium,Last-value baseline,0.518537532872119,1.0403704644831093
rollout,medium,Random baseline,0.2056919265025465,3.881621562063605
