model,difficulty,forward,inverse,rollout,world_model_score
Oracle simulator,easy,1.0,1.0,1.0,1.0
Curve-fit baseline,easy,0.9791358279744576,0.8455599255154961,0.9063870520738286,0.9099635468765176
Last-value baseline,easy,0.833475371242542,0.7421303843512599,0.7080240879000266,0.7558913618381512
gpt-4o,easy,0.9656453842223528,0.1748156274828595,0.8744639649607753,0.6919238894958739
Random baseline,easy,0.14402950587784427,0.24240132063486586,0.18860248815434985,0.191370243215553
Oracle simulator,hard,1.0,1.0,1.0,1.0
gpt-4o,hard,0.7752737218870184,0.22479852049250232,0.17786272448494633,0.37116676250783476
Last-value baseline,hard,0.6589231640474176,0.31118963608541145,0.18513992292286488,0.36508980920899464
Curve-fit baseline,hard,0.39965028334548314,0.5940099032810348,0.15722846997873371,0.3609894439794489
Random baseline,hard,0.1219943179578397,0.32427109693659334,0.09557644580590936,0.17211020279069367
Oracle simulator,medium,1.0,1.0,1.0,1.0
Curve-fit baseline,medium,0.8655567256116536,0.8803729345807692,0.599706901341656,0.7636616585943893
Last-value baseline,medium,0.785984824269701,0.5785190338342908,0.518537532872119,0.6167661705800451
gpt-4o,medium,0.9308393141263998,0.17365370838325486,0.6393891927278464,0.587103583844035
Random baseline,medium,0.20648964866309844,0.21967267322293144,0.2056919265025465,0.21012546716682756
