model,difficulty,forward,inverse,rollout,world_model_score
Oracle simulator,easy,1.0,1.0,1.0,1.0
Curve-fit baseline,easy,0.9791358279744576,0.7862776600412855,0.9063870520738286,0.8921788672342544
Last-value baseline,easy,0.833475371242542,0.7417626133889539,0.7080240879000266,0.7557810305494593
gpt-4o,easy,0.969655662783668,0.2550346077760107,0.9067341425940548,0.7301007382055256
Random baseline,easy,0.14402950587784427,0.24240132063486586,0.18860248815434985,0.191370243215553
Oracle simulator,hard,1.0,1.0,1.0,1.0
Last-value baseline,hard,0.6589231640474176,0.5419051324122782,0.18513992292286488,0.4343044581070547
gpt-4o,hard,0.7979618064842041,0.22248781325671732,0.19405559411401505,0.3837571235678824
Curve-fit baseline,hard,0.39965028334548314,0.4751869107051961,0.15722846997873371,0.3253425462066972
Random baseline,hard,0.1219943179578397,0.32427109693659334,0.09557644580590936,0.17211020279069367
Oracle simulator,medium,1.0,1.0,1.0,1.0
Curve-fit baseline,medium,0.8655567256116536,0.8240998974747697,0.599706901341656,0.7467797474625895
Last-value baseline,medium,0.785984824269701,0.6571863307099582,0.518537532872119,0.6403663596427454
gpt-4o,medium,0.9494350212737815,0.2334277556918002,0.62462921895423,0.6047105206713665
Random baseline,medium,0.20648964866309844,0.21967267322293144,0.2056919265025465,0.21012546716682756
