task_type,difficulty,model,score,normalized_error,ablation_name,inverse_gap,inverse_mask_mode,inverse_visible_interval,reveal_equations,description
forward,easy,Oracle simulator,1.0,0.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,easy,Curve-fit baseline,0.9791358279744576,0.021748146635855,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,easy,gpt-4o,0.9658674315288636,0.036894865181953,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,easy,Last-value baseline,0.833475371242542,0.214100332577431,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,easy,Random baseline,0.1440295058778442,6.872609523027517,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,hard,Oracle simulator,1.0,0.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,hard,gpt-4o,0.7767828541641819,0.3875229180042547,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,hard,Last-value baseline,0.6589231640474176,0.6897008290469606,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,hard,Curve-fit baseline,0.3996502833454831,1.6722294855321482,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,hard,Random baseline,0.1219943179578397,8.190996849367021,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,medium,Oracle simulator,1.0,0.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,medium,gpt-4o,0.9330796302621006,0.0751174156405035,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,medium,Curve-fit baseline,0.8655567256116536,0.1696065306802665,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,medium,Last-value baseline,0.785984824269701,0.2979205696666109,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
forward,medium,Random baseline,0.2064896486630984,4.898547768103365,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
inverse,easy,Oracle simulator,1.0,0.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
inverse,easy,Curve-fit baseline,0.7554347388470342,0.3316522986079731,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
